#n_killed,n_injured,latitude,longitude,gun_involved,district
0,1,43.0169,87.9252,0,8
0,1,39.3542,76.5553,0,45
0,1,36.9881,76.4185,0,95
0,0,27.7097,97.3873,0,32
1,0,30.4817,90.8615,0,95
0,0,39.4339,75.2276,0,3
1,0,35.2517,97.495,0,46
0,0,37.5724,77.4825,0,68
0,1,41.0799,85.1645,0,81
0,2,35.3229,119.038,0,34
0,0,39.7827,89.6411,0,96
0,1,34.2291,91.9779,0,16
0,0,44.0737,92.5004,0,0
0,1,61.154,149.924,0,19
0,2,38.6196,90.2558,0,80
0,1,37.0698,83.3789,0,0
0,1,47.6573,120.917,0,12
0,2,42.3756,83.0643,0,4
0,1,38.0534,84.4808,0,0
0,0,33.7892,84.4459,0,53
0,1,41.7402,87.6114,0,34
0,1,42.3727,83.1921,0,11
0,1,38.119,83.1214,0,0
0,1,26.1522,80.2348,0,95
0,0,38.5982,90.235,0,78
1,0,27.8428,82.7056,0,68
0,0,37.5266,77.4125,0,70
1,0,40.2051,74.7595,0,15
0,1,41.6611,91.5302,0,85
0,2,34.6937,86.6275,1,10
0,0,31.1192,97.6979,0,55
1,1,35.8689,80.2366,0,81
0,1,42.2884,89.116,0,67
0,1,35.3182,78.7225,0,53
0,0,43.093,79.0543,2,145
0,0,43.0664,76.1558,0,129
0,0,38.9602,77.0199,0,0
0,0,38.8807,76.9293,0,0
0,0,38.8569,76.9718,0,0
0,0,38.917,77.0006,0,0
0,0,38.903,77.0504,0,0
0,0,38.9192,76.9994,0,0
1,2,42.423,83.2968,1,10
0,1,32.3887,91.7928,1,19
0,1,38.0507,84.4829,0,0
0,1,40.8396,73.8758,0,87
0,0,38.8876,76.9949,0,0
0,0,39.8258,86.027,0,98
0,3,40.6505,73.9573,0,42
1,0,36.8513,82.2958,0,4
0,0,39.7675,84.2269,0,39
0,1,38.356,81.644,1,37
1,1,43.1657,77.6462,0,136
1,0,28.5064,81.1511,1,50
1,0,34.2022,78.9474,0,46
0,1,30.2076,81.5532,0,16
0,0,39.6077,84.3014,0,42
0,0,30.4491,91.1871,0,67
1,0,39.327,76.5637,0,45
0,0,38.9596,76.9571,0,22
0,0,40.8634,73.9676,0,37
0,1,27.7703,82.6583,0,70
0,0,31.0957,97.6892,0,54
0,1,33.7201,117.985,0,72
1,0,37.333,121.888,0,27
1,0,39.311,76.5859,0,45
0,0,43.5848,116.554,0,12
0,0,43.0557,83.5209,0,50
0,0,34.3401,89.5475,0,12
0,0,40.229,75.3879,0,0
0,0,39.0999,76.8122,0,32
1,0,39.763,86.1185,0,100
0,0,35.5919,89.2691,0,82
0,0,41.3434,82.1,0,55
0,1,32.3749,86.3094,0,77
0,0,27.9594,82.5056,0,62
1,0,38.9734,92.3354,0,45
0,0,38.9488,76.9952,0,0
0,0,38.855,76.9635,0,0
0,0,38.8665,76.9837,0,0
0,1,28.3552,80.6626,1,51
1,2,30.7586,86.5752,0,4
1,1,26.1272,80.2143,0,94
0,1,30.5715,97.4202,1,0
0,0,30.2093,97.6529,0,51
0,0,61.2034,149.778,0,14
0,0,31.1108,97.7504,0,54
0,0,34.9226,81.0185,0,49
1,0,34.4576,86.5866,0,9
1,0,39.7814,86.1233,0,96
0,0,35.9904,78.8692,0,29
0,1,34.2034,79.258,0,57
0,1,33.6241,112.394,0,22
0,0,36.0351,78.8924,0,31
0,1,33.567,112.118,0,30
1,0,39.7807,86.1436,0,96
0,1,39.9421,75.1539,0,0
0,0,35.9975,78.8981,0,29
0,1,42.4217,82.999,0,2
0,0,40.0374,76.2993,0,0
0,0,45.5335,122.542,0,47
1,0,38.8138,104.748,0,17
1,0,39.8562,104.963,0,31
0,0,42.2567,71.7877,0,0
0,1,34.0416,81.0837,0,74
1,0,32.6733,117.082,0,80
0,1,41.7046,86.2828,0,6
0,0,40.8877,74.0392,0,37
0,0,32.6088,85.4505,0,79
0,0,30.1978,95.4545,0,15
0,1,40.4444,74.1338,0,13
1,0,33.8962,84.5781,0,41
0,0,30.1802,95.4558,0,15
0,1,41.1641,104.802,0,7
0,1,30.0235,90.0554,0,97
0,0,39.1574,75.5124,0,32
0,0,40.751,111.932,0,26
1,0,35.8204,84.1769,0,14
1,0,28.4708,81.3692,0,48
0,1,34.7204,92.4523,0,32
0,1,29.9322,90.0272,0,102
0,1,39.9641,75.1916,0,0
0,0,37.0899,87.303,0,0
